,name,lng,lat,X,Y
1,松創店,121.5593832,25.0435451,353835.202,2770786.071
2,逸鑫店,121.563093,25.0403546,354205.752,2770428.736
3,台北１０１店,121.5643085,25.0338492,354320.751,2769706.945
4,建鑫店,121.5676908,25.0353759,354663.825,2769872.415
5,松仁店,121.568751,25.028411,354762.645,2769099.906
6,新安興店,121.5692001,25.0248579,354803.805,2768705.913
7,祥和店,121.57042,25.02409,354926.007,2768619.567
8,挹翠店,121.5698427,25.0202755,354863.29,2768197.718
9,盛興店,121.566122,25.0261195,354494.672,2768848.924
10,莊敬店,121.5648783,25.0275297,354370.826,2769006.436
11,北醫店,121.5638048,25.0270919,354261.986,2768959.098
12,莊新店,121.563382,25.028451,354220.919,2769110.074
13,富興店,121.561009,25.0287855,353981.859,2769149.663
14,景聯店,121.5611362,25.0307553,353997.013,2769367.687
15,三興店,121.5595,25.0317675,353833.104,2769481.546
16,復昌店,121.5576401,25.0320589,353645.774,2769515.818
17,新信德店,121.5746406,25.032428,355361.634,2769538.527
18,松友店,121.577016,25.035255,355604.613,2769849.101
19,松永店,121.5749443,25.0365336,355397.066,2769992.908
