,松創店,逸鑫店,台北１０１店,建鑫店,松仁店,新安興店,祥和店,挹翠店,盛興店,莊敬店,北醫店,莊新店,富興店,景聯店,三興店,復昌店,新信德店,松友店,松永店,瑞芳dc
松創店,0.0,2.215,2.853,3.176,3.599,3.986,4.184,4.57,4.202,3.951,3.917,3.813,4.508,2.959,2.985,3.282,3.683,3.887,3.232,27.393
逸鑫店,1.063,0.0,0.995,1.59,2.013,2.4,2.598,2.984,2.532,2.093,2.06,1.955,2.479,1.582,1.608,1.252,2.14,2.344,1.689,27.464
台北１０１店,1.776,0.84,0.0,0.976,1.535,1.716,1.892,2.304,1.42,1.169,1.135,0.934,0.917,0.616,0.642,0.759,1.793,1.998,2.023,28.178
建鑫店,2.186,1.251,1.015,0.0,0.983,1.37,1.567,1.953,1.502,1.517,1.521,1.417,1.522,1.426,1.545,1.573,1.241,1.446,1.471,33.625
松仁店,2.906,1.971,1.108,1.311,0.0,0.474,0.585,1.069,0.607,0.622,0.737,0.633,1.055,1.073,1.405,1.666,1.28,1.485,1.51,33.664
新安興店,3.293,2.358,1.495,1.698,0.474,0.0,0.205,0.613,0.443,0.596,0.746,0.782,1.105,1.124,1.541,1.571,1.667,1.872,1.897,34.051
祥和店,3.507,2.572,1.709,1.912,0.688,0.244,0.0,0.514,0.604,0.81,0.906,0.997,1.319,1.338,1.756,1.785,1.881,2.086,2.112,34.265
挹翠店,3.876,2.941,2.079,2.282,1.058,0.613,0.514,0.0,0.884,1.184,1.186,1.37,1.693,1.712,2.129,2.159,2.251,2.455,2.481,34.635
盛興店,3.425,2.197,1.342,1.545,0.607,0.443,0.604,0.884,0.0,0.3,0.303,0.487,0.81,0.828,1.246,1.275,1.8,2.004,2.03,28.924
莊敬店,2.438,1.946,1.091,1.294,0.622,0.596,0.772,1.184,0.3,0.0,0.158,0.236,0.558,0.577,0.995,1.024,1.815,2.019,2.045,28.673
北醫店,2.404,1.912,1.057,1.26,0.737,0.746,0.906,1.186,0.303,0.158,0.0,0.202,0.525,0.543,0.961,0.99,1.825,2.029,2.055,28.639
莊新店,2.202,1.808,0.952,1.155,0.808,0.782,0.958,1.37,0.487,0.236,0.202,0.0,0.323,0.342,0.759,0.789,1.72,1.924,1.95,28.438
富興店,2.169,1.674,1.058,1.261,1.055,1.105,1.281,1.693,0.81,0.558,0.525,0.323,0.0,0.325,0.743,0.662,1.82,2.024,2.05,28.608
景聯店,1.861,1.373,0.963,1.166,1.073,1.124,1.3,1.712,0.828,0.577,0.543,0.342,0.308,0.0,0.441,0.447,1.731,1.935,1.961,28.12
三興店,1.619,1.272,1.104,1.264,1.57,1.719,1.895,2.307,1.423,1.172,1.138,0.937,0.719,0.619,0.0,0.205,1.828,2.033,2.058,27.891
復昌店,1.414,1.732,1.137,1.4,1.706,1.855,2.031,2.444,1.56,1.309,1.275,1.073,0.912,0.755,0.781,0.0,1.965,2.169,2.195,28.04
新信德店,3.155,2.219,1.364,1.566,1.332,1.719,1.916,2.302,1.851,1.866,1.87,1.766,1.871,1.775,1.804,1.922,0.0,0.471,0.459,33.294
松友店,3.319,2.383,1.528,1.731,1.496,1.883,2.081,2.467,2.015,2.03,2.035,1.93,2.036,1.94,1.969,2.086,0.471,0.0,0.624,27.062
松永店,2.545,1.612,1.766,1.671,1.734,2.121,2.319,2.705,2.253,2.268,2.273,2.168,2.274,2.178,2.207,2.324,0.685,0.889,0.0,26.949
瑞芳dc,27.915,27.076,33.167,33.369,33.135,33.522,33.719,34.105,33.654,33.669,33.673,33.569,33.674,33.578,33.607,28.143,32.644,32.848,32.874,0.0
